מספר אצווה,זן,חממה,תאריך תחילת הפרחה,תאריך סיום הפרחה,סה״כ ימים בהפרחה,חודש_התחלה,עונה,GREENHOUSE,Humidity (%)_mean,Humidity (%)_std,Avg_Temp (‏ֽ‎‎°C)_mean,Avg_Temp (‏ֽ‎‎°C)_std,Radiation (J/m2)_mean,Radiation (J/m2)_std,Unnamed: 21_mean,Unnamed: 21_std,חממה_קוד,זן_קוד,עונה_קוד
GLE2445ZG1,LE,G,2024-11-08,26.12.2024 13:57,48.58125000000291,11,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,48,2
GK12446ZI3,K1,I,2024-11-13,26.12.2024 9:15,43.38541666666424,11,סתיו,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,43,2
GGBO2444ZJ1,GBO,Z,2024-10-31,25.12.2024 15:02,55.62638888888614,10,סתיו,,,,,,,,,,8,28,2
GBP2444ZJ2,BP,J,2024-10-31,25.12.2024 12:10,55.50694444444525,10,סתיו,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,13,2
GT272446ZI2,T27,Z,2024-11-13,24.12.2024 14:06,41.587500000001455,11,סתיו,,,,,,,,,,8,71,2
GGP2446ZI1,GP,I,2024-11-13,24.12.2024 10:38,41.44305555555911,11,סתיו,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,32,2
GNP2443ZH2,NP2,H,2024-10-24,17.12.2024 10:54,54.45416666667006,10,סתיו,H,63.085,10.29,25.528,3.817,180.9,267.08,0.982,0.134,4,57,2
G24K2443ZH3,24K,Z,2024-10-24,17.12.2024 9:17,54.38680555555766,10,סתיו,,,,,,,,,,8,0,2
GPAS2443ZH1,PAS,Z,2024-10-24,16.12.2024 11:03,53.46041666666861,10,סתיו,,,,,,,,,,8,59,2
GBC2441ZF5,BC,F,2024-10-13,3.12.2024 12:18,51.51249999999709,10,סתיו,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,8,2
GERZ2441ZF6,ERZ,Z,2024-10-13,3.12.2024 7:55,51.329861111109494,10,סתיו,,,,,,,,,,8,22,2
GPC2441ZF3,PC,F,2024-10-13,1.12.2024 14:20,49.59722222221899,10,סתיו,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,60,2
GTR12441ZF4,TR1,Z,2024-10-13,1.12.2024 8:43,49.36319444444234,10,סתיו,,,,,,,,,,8,75,2
GLE2441ZF1,LE,F,2024-10-13,27.11.2024 12:09,45.506249999998545,10,סתיו,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,48,2
GK22441ZF1,K2,F,2024-10-13,26.11.2024 7:12,44.30000000000291,10,סתיו,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,44,2
GPI2440ZA3,PI,A,2024-10-04,18.11.2024 10:29,45.43680555555329,10,סתיו,A1,63.537,9.897,26.114,3.98,151.234,264.277,0.932,0.265,0,61,2
GPI2440ZA3,PI,A,2024-10-04,18.11.2024 10:29,45.43680555555329,10,סתיו,A2,0.0,0.0,0.0,0.0,198.574,295.645,0.945,0.228,0,61,2
GK22440ZA3,K2,A,2024-10-04,18.11.2024 7:34,45.315277777779556,10,סתיו,A1,63.537,9.897,26.114,3.98,151.234,264.277,0.932,0.265,0,44,2
GK22440ZA3,K2,A,2024-10-04,18.11.2024 7:34,45.315277777779556,10,סתיו,A2,0.0,0.0,0.0,0.0,198.574,295.645,0.945,0.228,0,44,2
GPR92440ZA2,PR9,Z,2024-10-04,14.11.2024 15:57,41.66458333333139,10,סתיו,,,,,,,,,,8,62,2
GK42439ZT2,K4,T,2024-09-26,14.11.2024 10:37,49.442361111112405,9,סתיו,,,,,,,,,,7,45,2
GPAS2439ZT6,PAS,Z,2024-09-26,13.11.2024 12:02,48.50138888888614,9,סתיו,,,,,,,,,,8,59,2
GICC2440ZA1,ICC,Z,2024-10-04,12.11.2024 14:24,39.599999999998545,10,סתיו,,,,,,,,,,8,38,2
GDN2439ZT1,DN,T,2024-09-26,11.11.2024 13:52,46.577777777776646,9,סתיו,,,,,,,,,,7,18,2
GBC2439ZT5,BC,T,2024-09-26,11.11.2024 9:32,46.3972222222219,9,סתיו,,,,,,,,,,7,8,2
GAB2439ZT4,AB,T,2024-09-26,10.11.2024 15:39,45.6520833333343,9,סתיו,,,,,,,,,,7,1,2
GK22439ZT3_RD,K2,T,2024-09-26,10.11.2024 10:24,45.4333333333343,9,סתיו,,,,,,,,,,7,44,2
GK22439ZT3,K2,T,2024-09-26,10.11.2024 7:43,45.3215277777781,9,סתיו,,,,,,,,,,7,44,2
GECR2437ZE3,ECR,Z,2024-09-12,4.11.2024 15:26,53.6430555555562,9,סתיו,,,,,,,,,,8,21,2
GGPI2438ZI1,GPI,Z,2024-09-19,4.11.2024 9:22,46.390277777776646,9,סתיו,,,,,,,,,,8,34,2
GPC2437ZE5,PC,E,2024-09-12,3.11.2024 15:50,52.65972222221899,9,סתיו,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,60,2
GJO32437ZE2,JO3,Z,2024-09-12,3.11.2024 11:16,52.46944444444671,9,סתיו,,,,,,,,,,8,42,2
GTR72437ZE6,TR7,Z,2024-09-12,31.10.2024 15:05,49.62847222221899,9,סתיו,,,,,,,,,,8,78,2
GK12437ZE1,K1,E,2024-09-12,31.10.2024 12:25,49.517361111109494,9,סתיו,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,43,2
GTR12438ZI2,TR1,Z,2024-09-19,30.10.2024 14:28,41.6027777777781,9,סתיו,,,,,,,,,,8,75,2
GPR92438ZI3,PR9,Z,2024-09-19,30.10.2024 10:26,41.434722222220444,9,סתיו,,,,,,,,,,8,62,2
GK42436ZG3,K4,G,2024-09-08,28.10.2024 14:21,50.5979166666657,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,45,2
GBP2436ZG1,BP,G,2024-09-08,28.10.2024 10:04,50.4194444444438,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,13,2
GDN2436ZG1,DN,G,2024-09-08,27.10.2024 14:04,49.58611111110804,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,18,2
GTB2436ZG4,TB,G,2024-09-08,27.10.2024 9:34,49.39861111110804,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,72,2
GMID2436ZG6,MID,Z,2024-09-08,22.10.2024 14:48,44.61666666666861,9,סתיו,,,,,,,,,,8,56,2
GERZ2436ZG5,ERZ,Z,2024-09-08,22.10.2024 13:57,44.58125000000291,9,סתיו,,,,,,,,,,8,22,2
GAV2436ZG6,AV,G,2024-09-08,22.10.2024 10:25,44.43402777778101,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,6,2
GWR2436ZG2,WR,G,2024-09-08,22.10.2024 9:20,44.388888888890506,9,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,80,2
GCPV2435ZJ1,CPV,Z,2024-09-01,20.10.2024 14:48,49.61666666666861,9,סתיו,,,,,,,,,,8,16,2
GLCG2435ZJ3,LCG,Z,2024-09-01,10.10.2024 12:46,39.53194444444671,9,סתיו,,,,,,,,,,8,47,2
GGH62433ZH3,GH6,Z,2024-08-22,10.10.2024 9:36,49.400000000001455,8,קיץ,,,,,,,,,,8,30,3
GCPV2433ZH1,CPV,Z,2024-08-22,9.10.2024 14:55,48.62152777778101,8,קיץ,,,,,,,,,,8,16,3
GABH2433ZH2,ABH,Z,2024-08-22,9.10.2024 11:56,48.497222222220444,8,קיץ,,,,,,,,,,8,3,3
GPUM2432ZF1,PUM,Z,2024-08-14,30.9.2024 12:31,47.52152777777519,8,קיץ,,,,,,,,,,8,63,3
GCPV2432ZF3,CPV,Z,2024-08-14,30.9.2024 9:31,47.39652777777519,8,קיץ,,,,,,,,,,8,16,3
GLE2432ZF5,LE,F,2024-08-14,26.9.2024 13:57,43.58125000000291,8,קיץ,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,48,3
GABP2432ZF2,ABP,Z,2024-08-14,25.9.2024 12:30,42.52083333333576,8,קיץ,,,,,,,,,,8,4,3
GIZ2432ZF4,IZ,F,2024-08-14,22.9.2024 16:49,39.7006944444438,8,קיץ,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,39,3
GRGP2431ZA2,RGP,Z,2024-08-04,22.9.2024 10:40,49.44444444444525,8,קיץ,,,,,,,,,,8,68,3
GRGD2431ZA3,RGD,Z,2024-08-04,17.9.2024 11:44,44.48888888888905,8,קיץ,,,,,,,,,,8,67,3
GICC2431ZA1,ICC,Z,2024-08-04,17.9.2024 10:44,44.44722222222481,8,קיץ,,,,,,,,,,8,38,3
GCHD2430ZT3,CHD,Z,2024-07-28,15.9.2024 14:42,49.61250000000291,7,קיץ,,,,,,,,,,8,15,3
GREB2430ZT6,REB,Z,2024-07-28,15.9.2024 9:04,49.377777777779556,7,קיץ,,,,,,,,,,8,64,3
GME2430ZT1,ME,T,2024-07-28,12.9.2024 12:54,46.537499999998545,7,קיץ,,,,,,,,,,7,53,3
GFAC2430ZT4,FAC,Z,2024-07-28,11.9.2024 14:16,45.59444444444671,7,קיץ,,,,,,,,,,8,23,3
GAB2430ZT5,AB,T,2024-07-28,11.9.2024 10:14,45.42638888888905,7,קיץ,,,,,,,,,,7,1,3
GT272429ZI3,T27,Z,2024-07-20,8.9.2024 14:21,50.5979166666657,7,קיץ,,,,,,,,,,8,71,3
GGPI2429ZI1,GPI,Z,2024-07-20,8.9.2024 12:50,50.53472222221899,7,קיץ,,,,,,,,,,8,34,3
GPC2429ZI2,PC,I,2024-07-20,3.9.2024 11:11,45.465972222220444,7,קיץ,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,60,3
GTR12429ZI3,TR1,Z,2024-07-20,3.9.2024 7:53,45.328472222223354,7,קיץ,,,,,,,,,,8,75,3
GPUM2428ZE6,PUM,Z,2024-07-12,1.9.2024 13:35,51.56597222221899,7,קיץ,,,,,,,,,,8,63,3
GJO32428ZE3,JO3,Z,2024-07-12,1.9.2024 9:38,51.401388888887595,7,קיץ,,,,,,,,,,8,42,3
GPC2428ZE4,PC,E,2024-07-12,29.8.2024 10:27,48.43541666666715,7,קיץ,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,60,3
GGUM2428ZE5,GUM,Z,2024-07-12,29.8.2024 7:50,48.326388888890506,7,קיץ,,,,,,,,,,8,36,3
GTB2428ZE2,TB,E,2024-07-12,28.8.2024 12:59,47.54097222222481,7,קיץ,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,72,3
GK12428ZE1,K1,E,2024-07-12,28.8.2024 10:06,47.42083333332994,7,קיץ,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,43,3
GALS2426ZG1,ALS,Z,2024-06-28,22.8.2024 11:45,55.48958333333576,6,קיץ,,,,,,,,,,8,5,3
GALS2427ZJ3,ALS,Z,2024-07-04,22.8.2024 8:18,49.34583333333285,7,קיץ,,,,,,,,,,8,5,3
GGPI2427ZJ1,GPI,Z,2024-07-04,21.8.2024 11:14,48.46805555555329,7,קיץ,,,,,,,,,,8,34,3
GEC22427ZJ2,EC,Z,2024-07-04,21.8.2024 8:20,48.34722222221899,7,קיץ,,,,,,,,,,8,19,3
GME2426ZG6,ME,G,2024-06-28,15.8.2024 12:27,48.51875000000291,6,קיץ,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,53,3
GGUM2426ZG2,GUM,Z,2024-06-28,15.8.2024 8:30,48.35416666666424,6,קיץ,,,,,,,,,,8,36,3
GJO32426ZG5,JO3,Z,2024-06-28,14.8.2024 12:42,47.52916666666715,6,קיץ,,,,,,,,,,8,42,3
GK12426ZG,K1,G,2024-06-28,14.8.2024 10:28,47.43611111111386,6,קיץ,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,43,3
GGH62424ZH3,GH6,Z,2024-06-19,5.8.2024 14:28,47.6027777777781,6,קיץ,,,,,,,,,,8,30,3
GMID2425ZF5,MID,Z,2024-06-23,4.8.2024 14:17,42.59513888888614,6,קיץ,,,,,,,,,,8,56,3
GERZ2425ZF4,ERZ,Z,2024-06-23,4.8.2024 12:08,42.50555555555911,6,קיץ,,,,,,,,,,8,22,3
GABH2425ZF3,ABH,Z,2024-06-23,4.8.2024 10:27,42.43541666666715,6,קיץ,,,,,,,,,,8,3,3
GLE2425ZF5,LE,F,2024-06-23,2.8.2024 8:34,40.3569444444438,6,קיץ,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,48,3
GGH42424ZH1,GH4,Z,2024-06-19,31.7.2024 11:07,42.46319444444089,6,קיץ,,,,,,,,,,8,29,3
GAV2425ZF6,AV,F,2024-06-23,30.7.2024 14:31,37.60486111111095,6,קיץ,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,6,3
GIZ2425ZF1,IZ2,F,2024-06-23,30.7.2024 10:58,37.45694444444234,6,קיץ,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,40,3
GALS2423ZA1,ALS,Z,2024-06-09,29.7.2024 9:50,50.40972222221899,6,קיץ,,,,,,,,,,8,5,3
GRGP2423ZA2,RGP,Z,2024-06-09,28.7.2024 14:01,49.58402777777519,6,קיץ,,,,,,,,,,8,68,3
GTR62423ZA3,TR6,Z,2024-06-09,21.7.2024 7:21,42.306250000001455,6,קיץ,,,,,,,,,,8,77,3
GALS2422ZT1,ALS,Z,2024-06-02,16.7.2024 13:45,44.57291666666424,6,קיץ,,,,,,,,,,8,5,3
GK22422ZT3_RD,K2,T,2024-06-02,16.7.2024 10:05,44.420138888890506,6,קיץ,,,,,,,,,,7,44,3
GOL2422ZT4,OL,T,2024-06-02,16.7.2024 7:48,44.32499999999709,6,קיץ,,,,,,,,,,7,58,3
GK22422ZT3,K2,T,2024-06-02,16.7.2024 6:18,44.26249999999709,6,קיץ,,,,,,,,,,7,44,3
GCPV2422ZT6,CPV,Z,2024-06-02,15.7.2024 14:21,43.5979166666657,6,קיץ,,,,,,,,,,8,16,3
GAB2422ZT2,AB,T,2024-06-02,15.7.2024 8:43,43.36319444444234,6,קיץ,,,,,,,,,,7,1,3
GICC2422ZT5,ICC,Z,2024-06-02,14.7.2024 14:44,42.61388888888905,6,קיץ,,,,,,,,,,8,38,3
GGM2421ZI2,GM,I,2024-05-23,14.7.2024 8:43,52.36319444444234,5,אביב,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,31,0
GREB2421ZI3,REB,Z,2024-05-23,4.7.2024 12:32,42.5222222222219,5,אביב,,,,,,,,,,8,64,0
GCHD2421ZI2,CHD,Z,2024-05-23,4.7.2024 10:36,42.4416666666657,5,אביב,,,,,,,,,,8,15,0
GLCG2421ZI1,LCG,Z,2024-05-23,4.7.2024 9:13,42.3840277777781,5,אביב,,,,,,,,,,8,47,0
G24K2419ZE1,24K,Z,2024-05-08,25.6.2024 15:57,48.66458333333139,5,אביב,,,,,,,,,,8,0,0
GPAS2419ZE6,PAS,Z,2024-05-08,25.6.2024 9:20,48.388888888890506,5,אביב,,,,,,,,,,8,59,0
GIZ2419ZJ2,IZ,J,2024-05-19,24.6.2024 14:47,36.6159722222219,5,אביב,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,39,0
GABP2419ZJ3,ABP,Z,2024-05-19,24.6.2024 10:45,36.44791666666424,5,אביב,,,,,,,,,,8,4,0
GLE2419ZJ1,LE,J,2024-05-19,24.6.2024 8:34,36.3569444444438,5,אביב,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,48,0
GTK2419ZE4,TK,E,2024-05-08,23.6.2024 14:37,46.609027777776646,5,אביב,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,74,0
GOL2419ZE4,OL,E,2024-05-08,23.6.2024 11:22,46.473611111112405,5,אביב,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,58,0
GHSO2419ZE3,HSO,Z,2024-05-08,23.6.2024 9:39,46.4020833333343,5,אביב,,,,,,,,,,8,37,0
GLL2419ZE5,LL,E,2024-05-08,19.6.2024 12:02,42.50138888888614,5,אביב,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,51,0
GLCG2419ZE2,LCG,Z,2024-05-08,19.6.2024 8:32,42.35555555555766,5,אביב,,,,,,,,,,8,47,0
GCC2416ZG1,CC,G,2024-04-23,9.6.2024 16:06,47.67083333332994,4,אביב,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,14,0
GMAC2416ZG5,MAC,Z,2024-04-23,9.6.2024 9:30,47.39583333333576,4,אביב,,,,,,,,,,8,52,0
GS332415ZF4,S33,Z,2024-04-12,6.6.2024 9:21,55.38958333332994,4,אביב,,,,,,,,,,8,70,0
GWNG2416ZG6,WNG,Z,2024-04-23,5.6.2024 13:55,43.579861111109494,4,אביב,,,,,,,,,,8,79,0
GBC2416ZG4,BC,G,2024-04-23,5.6.2024 9:39,43.4020833333343,4,אביב,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,8,0
